Fem_Fle(+)Ext(-),Fem_Var(+)Val(-),Fem_Int(+)Ext(-),EI,VV,LM,AP,PD,PCL,dMCL,sMCL,LCL,ALL,OPL,PC,f
-1,2,-2,3.698,5.992,1.29,8.043,1.24,0.028,0.011,0.034,0.089,0.015,0.013,0.038,29.383
-1,2,-1,3.144,4.06,1.433,10.884,2.199,0.006,0.101,0.05,0.037,0.028,0.015,0.022,32.08
-1,2,0,3.795,5.2,1.003,8.582,1.4,0.001,0.137,0.072,0.073,0.056,0.016,0.028,35.3
-1,2,1,3.421,3.687,1.018,7.224,0.865,0.089,0.124,0.042,0.052,0.048,0.015,0.016,31.655
-1,2,2,3.759,2.982,1.518,8.803,1.232,0.028,0.045,0.088,0.093,0.022,0.013,0.036,31.294
0,-2,-2,3.293,2.602,1.207,7.621,1.029,0.019,0.043,0.078,0.053,0.031,0.018,0.038,26.952
0,-2,-1,3.554,3.652,1.681,7.208,1.927,0.044,0.081,0.029,0.085,0.049,0.01,0.045,31.742
0,-2,0,3.468,3.441,1.197,8.277,2.019,0.068,0.027,0.021,0.097,0.059,0.014,0.017,30.522
0,-2,1,4.752,3.201,1.205,8.063,1.385,0.053,0.027,0.129,0.075,0.034,0.017,0.05,34.006
0,-2,2,4.532,2.19,1.002,9.331,1.685,0.063,0.08,0.068,0.054,0.028,0.012,0.034,32.3
0,-1,-2,3.14,5.2,1.397,7.731,1.83,0.027,0.07,0.109,0.095,0.046,0.01,0.015,34.178
0,-1,-1,4.101,4.345,1.76,7.957,1.535,0.042,0.095,0.089,0.039,0.032,0.011,0.035,33.418
0,-1,0,4.83,5.87,1.714,9.603,1.175,0.035,0.082,0.054,0.038,0.047,0.019,0.025,35.192
0,-1,1,4.777,5.747,1.32,7.459,1.694,0.001,0.069,0.072,0.077,0.017,0.013,0.024,31.917
0,-1,2,2.795,4.063,1.613,8.275,1.699,0.029,0.118,0.047,0.088,0.059,0.017,0.019,33.525
0,0,-2,3.043,2.338,1.754,7.026,0.854,0.098,0.107,0.126,0.017,0.022,0.009,0.011,30.615
0,0,-1,3.518,6.301,1.766,7.418,2.053,0.051,0.142,0.054,0.05,0.03,0.013,0.028,35.776
0,0,0,3.212,5.284,1.391,9.977,1.739,0.08,0.043,0.117,0.047,0.027,0.011,0.041,36.243
0,0,1,3.841,3.811,1.282,8.669,1.466,0.036,0.01,0.047,0.025,0.022,0.012,0.032,26.429
0,0,2,4.041,3.231,1.469,10.843,1.86,0.068,0.067,0.078,0.057,0.049,0.011,0.034,36.004
0,1,-2,4.941,2.197,1.089,6.957,1.18,0.048,0.059,0.033,0.088,0.037,0.011,0.043,29.124
0,1,-1,3.579,5.595,0.961,10.089,2.086,0.048,0.139,0.047,0.05,0.022,0.008,0.046,36.71
0,1,0,2.8,4.881,1.467,10.652,1.594,0.019,0.063,0.093,0.024,0.059,0.013,0.03,33.434
0,1,1,3.097,5.114,1.17,7.034,1.817,0.061,0.021,0.025,0.056,0.044,0.009,0.043,28.592
0,1,2,2.916,4.918,1.729,8.721,1.649,0.021,0.019,0.025,0.014,0.032,0.009,0.023,25.653
0,2,-2,3.127,5.076,1.174,10.575,1.553,0.088,0.076,0.118,0.037,0.039,0.01,0.01,36.625
0,2,-1,4.106,4.43,1.179,10.105,0.948,0.051,0.132,0.104,0.091,0.037,0.02,0.02,38.968
0,2,0,4.023,2.398,0.978,8.142,1.606,0.04,0.029,0.114,0.059,0.031,0.016,0.023,29.627
0,2,1,3.624,2.825,1.173,10.355,2.184,0.076,0.123,0.02,0.051,0.011,0.019,0.044,33.921
0,2,2,2.536,2.713,1.366,8.621,2.195,0.083,0.078,0.078,0.017,0.056,0.018,0.046,32.471
1,-2,-2,4.531,2.803,1.715,9.152,1.283,0.07,0.022,0.118,0.053,0.044,0.015,0.02,33.164
1,-2,-1,4.842,4.313,1.129,7.393,2.108,0.011,0.05,0.096,0.034,0.053,0.014,0.019,30.865
1,-2,0,2.52,4.644,1.718,9.621,1.501,0.058,0.096,0.071,0.04,0.02,0.019,0.04,33.764
1,-2,1,3.471,4.572,1.657,10.152,2.15,0.032,0.095,0.091,0.098,0.056,0.018,0.029,38.762
1,-2,2,2.562,4.807,1.191,8.615,1.659,0.072,0.048,0.124,0.074,0.012,0.018,0.023,33.674
1,-1,-2,3.561,2.081,1.083,9.878,1.166,0.046,0.033,0.103,0.075,0.054,0.015,0.025,31.809
1,-1,-1,4.014,5.538,1.37,9.017,1.075,0.037,0.088,0.085,0.062,0.023,0.009,0.032,34.454
1,-1,0,2.552,5.343,1.636,8.661,0.834,0.043,0.11,0.082,0.025,0.011,0.011,0.022,31.186
1,-1,1,3.003,2.934,1.008,8.619,1.826,0.069,0.146,0.129,0.087,0.025,0.009,0.034,37.35
1,-1,2,4.412,5.712,1.153,10.807,1.502,0.04,0.061,0.021,0.021,0.057,0.014,0.021,32.986
1,0,-2,4.489,5.887,1.397,10.947,1.487,0.083,0.061,0.033,0.082,0.041,0.011,0.033,37.967
1,0,-1,3.567,2.87,1.068,10.535,1.519,0.084,0.025,0.043,0.052,0.049,0.02,0.019,31.239
1,0,0,4.914,4.603,0.94,9.283,1.581,0.004,0.064,0.094,0.062,0.05,0.015,0.041,34.521
1,0,1,4.83,4.205,1.205,7.676,1.965,0.082,0.137,0.078,0.098,0.023,0.015,0.034,38.561
1,0,2,4.364,3.28,0.959,10.223,1.055,0.047,0.117,0.115,0.012,0.038,0.01,0.048,35.361
1,1,-2,3.447,3.013,1.148,7.436,1.404,0.097,0.023,0.025,0.094,0.031,0.01,0.037,29.128
1,1,-1,4.479,4.231,1.652,8.202,1.181,0.011,0.097,0.103,0.092,0.036,0.013,0.013,34.345
1,1,0,2.712,3.812,1.285,9.093,0.812,0.051,0.139,0.121,0.036,0.011,0.008,0.011,32.794
1,1,1,4.301,6.491,1.244,9.0,2.162,0.073,0.054,0.107,0.099,0.051,0.011,0.037,40.478
1,1,2,4.489,3.737,1.048,10.8,1.151,0.095,0.115,0.054,0.028,0.035,0.017,0.039,36.545
1,2,-2,2.514,3.956,0.94,9.414,1.407,0.07,0.014,0.089,0.084,0.023,0.019,0.031,31.431
1,2,-1,3.357,2.91,1.57,10.039,0.85,0.08,0.086,0.111,0.045,0.053,0.016,0.047,36.246
1,2,0,2.885,3.378,1.43,10.805,1.474,0.068,0.117,0.038,0.059,0.034,0.011,0.046,34.892
1,2,1,3.219,4.335,1.78,9.261,2.076,0.008,0.014,0.068,0.085,0.058,0.011,0.036,31.871
1,2,2,4.803,2.184,1.557,7.631,0.923,0.094,0.135,0.12,0.024,0.035,0.013,0.022,34.818
2,-2,-2,3.768,5.909,1.022,10.427,1.068,0.045,0.119,0.092,0.089,0.029,0.019,0.036,39.354
2,-2,-1,4.964,3.816,1.752,7.434,1.845,0.085,0.107,0.109,0.043,0.048,0.015,0.023,37.011
2,-2,0,4.372,3.466,1.591,8.805,1.761,0.069,0.096,0.111,0.061,0.028,0.017,0.03,36.475
2,-2,1,4.693,2.522,1.236,7.836,1.821,0.01,0.11,0.106,0.088,0.043,0.011,0.02,33.628
2,-2,2,4.062,6.089,1.67,7.52,2.092,0.051,0.078,0.021,0.095,0.038,0.012,0.024,34.193
2,-1,-2,4.221,2.116,1.239,9.357,2.071,0.02,0.04,0.098,0.091,0.018,0.011,0.048,32.044
2,-1,-1,2.868,2.971,1.745,7.555,2.169,0.035,0.141,0.066,0.018,0.052,0.019,0.018,31.268
2,-1,0,2.642,4.112,1.184,8.194,2.099,0.051,0.124,0.075,0.081,0.04,0.01,0.034,34.831
2,-1,1,2.57,2.297,1.478,10.196,1.06,0.065,0.122,0.111,0.061,0.04,0.017,0.026,35.281
2,-1,2,4.703,2.919,1.232,10.15,1.108,0.052,0.137,0.062,0.022,0.038,0.014,0.016,33.752
2,0,-2,4.797,3.073,1.412,8.742,1.341,0.031,0.108,0.075,0.072,0.011,0.01,0.022,32.525
2,0,-1,3.782,2.593,1.701,9.739,1.254,0.055,0.104,0.116,0.096,0.027,0.015,0.019,36.349
2,0,0,4.542,3.182,1.265,7.566,1.463,0.056,0.103,0.062,0.019,0.039,0.008,0.016,30.138
2,0,1,4.531,2.534,1.765,10.684,1.878,0.082,0.015,0.041,0.056,0.043,0.019,0.018,32.352
2,0,2,3.957,6.443,0.934,8.356,1.233,0.088,0.018,0.096,0.014,0.011,0.017,0.038,32.203
2,1,-2,4.597,3.363,1.188,9.154,1.286,0.042,0.118,0.115,0.022,0.011,0.019,0.043,34.388
2,1,-1,3.41,4.143,1.762,8.602,1.418,0.048,0.108,0.124,0.087,0.06,0.015,0.032,38.295
2,1,0,2.979,3.713,1.689,8.567,1.633,0.093,0.113,0.092,0.079,0.036,0.013,0.045,37.421
2,1,1,3.927,2.749,0.93,7.242,1.369,0.087,0.139,0.07,0.016,0.037,0.016,0.021,31.657
2,1,2,4.974,3.826,1.502,7.587,0.929,0.054,0.054,0.035,0.039,0.036,0.017,0.01,28.618
2,2,-2,4.084,5.349,1.382,9.599,2.18,0.031,0.066,0.104,0.029,0.017,0.016,0.029,34.274
2,2,-1,3.143,3.696,1.055,10.715,1.947,0.048,0.033,0.023,0.042,0.026,0.013,0.045,29.756
2,2,0,4.568,3.742,1.048,7.149,0.895,0.006,0.136,0.08,0.061,0.05,0.019,0.026,32.522
2,2,1,3.77,3.209,1.207,7.657,2.018,0.094,0.066,0.102,0.012,0.032,0.014,0.033,31.981
2,2,2,3.901,3.301,1.585,7.708,1.843,0.068,0.068,0.118,0.017,0.056,0.009,0.04,33.378
